@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute classname string


@data
0,0,0,2,0,0,1,0,0,2,0,6,3,0,0,0,1,8.33,3.84,3,ak
0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,2,4.0,3.83,3,ak
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,11.0,3.55,1,ak
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6.0,3.0,1,ak
1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,14.0,3.86,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,9.0,5.33,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,3.25,1,ak
0,1,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,7.67,4.26,3,ak
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,11.0,7.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5.0,3.2,1,ak
1,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,0,9.5,3.42,2,ak
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,6.0,1,ak
0,1,0,0,0,0,1,1,0,0,0,6,1,0,0,0,0,15.0,4.93,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.75,1,ak
0,0,1,0,0,0,0,1,0,0,0,8,0,0,1,0,0,11.5,4.7,2,ak
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.0,3.88,1,ak
1,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,5.75,3.48,4,ak
0,1,0,1,1,0,0,2,0,1,0,6,0,1,0,0,1,7.67,3.35,3,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,4.5,1,ak
1,1,1,1,2,0,0,1,0,0,0,12,0,2,0,1,2,5.8,3.07,5,ak
1,0,0,0,0,0,0,1,1,0,0,7,1,1,1,0,1,8.33,4.28,3,ak
0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,7.5,3.13,2,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,4.0,1,ak
0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,2,9.0,5.0,1,ak
1,1,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,14.0,4.36,1,ak
0,0,0,2,0,0,0,1,0,0,0,11,0,0,0,0,0,6.25,5.28,4,ak
0,0,0,1,0,1,0,2,1,2,0,9,2,1,0,0,3,8.67,3.77,3,ak
0,0,0,0,0,1,0,0,0,2,0,4,1,0,0,0,1,13.0,4.23,1,ak
0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,7.0,4.57,1,ak
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5.0,4.4,1,ak
0,1,0,1,1,0,1,0,0,0,0,8,0,2,0,1,0,24.0,3.67,1,ak
0,2,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,20.0,4.1,1,ak
1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,10.0,3.5,1,ak
0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,4.5,3.22,2,ak
0,0,0,0,0,0,1,2,0,0,0,15,0,0,0,0,1,6.67,4.25,3,ak
0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,6.0,4.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,4.17,1,ak
2,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,9.5,3.68,2,ak
0,2,1,2,0,0,0,1,0,0,0,7,1,0,0,0,1,12.0,3.54,2,ak
0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13.0,4.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.5,3.92,2,ak
0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8.0,3.38,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.0,4.8,1,ak
1,0,0,0,1,0,0,0,0,0,0,5,0,1,2,0,0,16.0,4.06,1,ak
0,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,1,9.0,3.94,2,ak
1,0,0,0,0,0,0,0,1,2,1,4,5,0,0,0,0,12.0,4.58,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,7.0,4.0,1,ak
0,0,0,0,0,0,0,1,0,0,0,9,1,1,0,0,1,7.5,4.8,2,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,4.75,1,ak
1,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,8.5,3.88,2,ak
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7.0,4.29,1,ak
2,0,0,0,0,1,0,0,0,0,0,12,0,1,0,0,1,11.5,3.52,2,ak
0,1,0,0,0,0,0,2,1,0,0,11,0,2,0,0,0,6.5,3.31,4,ak
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.0,4.75,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0.0,1,ak
0,1,1,0,0,0,1,1,0,0,0,12,0,1,0,0,1,12.0,4.5,2,ak
0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,12.0,5.17,1,ak
0,0,1,0,0,1,0,0,0,0,0,5,4,0,0,0,0,7.33,2.95,3,ak
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10.0,4.4,1,ak
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,3.88,1,ak
0,2,1,1,0,0,0,2,1,1,0,11,0,2,0,0,1,9.33,3.64,3,ak
0,0,0,0,1,0,0,1,0,0,1,7,0,2,0,0,8,5.67,3.76,3,ak
0,0,0,0,0,0,0,1,0,2,0,10,0,0,0,0,0,4.0,3.63,4,ak
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9.0,5.56,1,ak
0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,6.0,3.75,2,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.0,2.67,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.0,5.33,1,ak
0,3,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,11.5,4.74,2,ak
0,0,1,0,0,0,0,1,0,0,0,4,6,1,0,0,1,7.0,4.43,3,ak
2,1,0,0,0,1,0,0,0,0,0,7,0,1,1,0,1,13.5,3.56,2,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.75,1,ak
0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10.0,4.4,1,ak
0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,10.0,3.7,1,ak
1,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4.67,3.0,3,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7.0,3.43,1,ak
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,6.0,4.17,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,3.5,1,ak
0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,13.0,3.92,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.0,4.6,1,ak
1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,9.0,5.22,1,ak
0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,9.0,4.06,2,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,3.5,1,ak
0,0,0,0,0,0,1,1,0,0,0,12,0,0,0,0,3,6.5,3.54,4,ak
0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,10.5,3.62,2,ak
0,0,1,0,0,0,1,0,0,0,0,8,0,2,0,0,0,22.0,4.27,1,ak
0,2,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,22.0,3.91,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,5.0,2.2,1,ak
0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,1,9.0,4.28,2,ak
0,3,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0,20.0,3.15,1,ak
1,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,1,12.0,2.92,1,ak
0,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,6.5,4.54,2,ak
1,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,1,7.67,3.57,3,ak
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,14.0,4.64,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,5.4,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,4.5,1,ak
2,0,1,0,1,0,0,0,0,0,0,8,0,1,0,0,0,8.67,3.19,3,ak
0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,4.0,4.75,3,ak
1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5.0,4.6,2,ak
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3.0,2.33,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,5.0,1,ak
1,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,22.0,3.64,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,7.0,1,ak
0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,5.67,4.06,3,ak
1,2,1,0,0,0,0,0,0,0,0,11,2,1,0,2,0,11.0,3.03,3,ak
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11.0,5.0,1,ak
1,1,0,0,0,0,1,2,0,0,0,10,2,0,0,0,1,9.33,3.36,3,ak
1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,15.0,3.4,1,ak
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14.0,3.64,1,ak
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14.0,3.14,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4.0,4.5,1,ak
0,0,1,0,1,0,0,0,0,2,0,2,4,1,0,0,0,12.0,3.42,1,ak
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,4.83,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,3.33,1,ak
2,0,1,0,0,0,0,2,0,1,0,8,3,2,1,0,2,6.75,2.93,4,ak
0,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,11.0,4.14,2,ak
0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,10.0,4.4,1,ak
0,2,0,0,1,0,0,0,0,0,0,5,0,1,0,0,2,6.5,3.46,2,ak
0,0,0,0,0,0,0,2,1,0,0,10,2,0,0,0,2,7.0,3.9,3,ak
0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,10.0,4.1,1,ak
1,0,0,0,0,1,2,2,0,0,0,7,4,1,0,0,2,8.67,3.31,3,ak
0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,5.0,3.8,1,ak
1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,7.0,2.43,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,2.4,1,ak
0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,1,7.5,4.47,2,ak
3,0,1,0,2,1,0,1,0,0,0,10,0,2,1,0,1,10.33,3.45,3,ak
0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,10.0,4.9,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.75,1,ak
0,2,1,1,0,0,0,0,0,0,0,6,0,0,0,1,1,24.0,3.96,1,ak
0,0,0,0,0,0,0,1,1,0,0,6,2,0,0,0,1,7.0,4.64,2,ak
1,0,0,1,1,0,0,1,0,0,0,10,0,1,0,0,1,6.5,4.19,4,ak
1,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,1,10.0,3.9,2,ak
1,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,1,18.0,4.33,1,ak
0,4,0,0,0,1,0,0,0,0,0,10,2,1,1,5,0,15.5,3.06,2,ak
0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,2,6.33,3.21,3,ak
0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,11.0,3.64,1,ak
2,1,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,10.0,3.95,2,ak
2,0,0,0,0,0,0,0,0,0,1,8,0,1,1,0,0,8.0,4.33,3,ak
0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,1,5.5,3.91,2,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,5.0,4.8,1,ak
3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.5,3.08,2,ak
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10.0,3.4,1,ak
1,0,0,0,0,0,0,2,0,2,0,10,0,0,0,0,0,8.5,3.76,2,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,4.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,4.17,1,ak
1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,10.0,4.9,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,4.67,1,ak
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2.0,5.5,1,ak
0,0,0,1,0,0,0,1,0,0,0,9,0,1,0,0,0,8.5,4.76,2,ak
0,0,0,0,1,0,1,1,1,0,0,8,1,2,0,0,0,10.0,4.65,2,ak
0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.75,1,ak
0,2,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,20.0,4.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,8.0,4.38,1,ak
1,0,0,0,0,0,0,1,0,0,0,8,1,3,0,0,1,3.83,2.48,6,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,5.0,1,ak
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7.0,3.86,2,ak
0,0,0,1,0,0,0,1,0,0,0,8,7,0,0,0,4,7.33,4.55,3,ak
0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,12.0,3.42,1,ak
0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,1,5.5,2.27,2,ak
0,3,0,0,0,0,0,0,0,0,0,10,0,1,0,1,0,6.75,3.96,4,ak
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,3.0,2.33,1,ak
2,0,0,0,0,0,1,1,0,0,0,8,0,1,0,0,2,13.0,3.96,2,ak
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.0,3.38,1,ak
0,0,0,0,0,0,0,1,0,0,0,17,0,1,0,0,1,10.33,3.48,3,ak
1,1,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,9.5,4.42,2,ak
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,4.38,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,6.0,4.83,1,ak
0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,7.0,5.57,2,ak
1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,16.0,3.44,1,ak
1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,7.0,3.0,1,ak
0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.0,2.75,2,ak
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,4.0,1.75,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,8.0,5.0,1,ak
1,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,18.0,3.67,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.0,2.86,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4.0,4.75,1,ak
1,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,11.0,3.73,1,ak
1,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,0,13.0,4.31,1,ak
0,0,0,0,1,0,0,1,0,0,0,6,1,0,0,0,2,8.0,4.44,2,ak
0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,1,6.33,4.11,3,ak
0,0,0,0,0,0,0,2,0,0,0,7,2,1,0,0,1,6.33,4.42,3,ak
0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,6.0,2.83,2,ak
0,0,2,0,0,0,2,2,1,0,1,13,0,2,0,0,0,5.2,3.46,5,ak
1,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,9.67,3.83,3,ak
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9.0,4.33,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,3.75,1,ak
0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,8.0,3.69,2,ak
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8.0,3.75,3,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,4.25,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,5.33,1,ak
1,0,2,0,0,0,0,1,0,1,0,7,0,3,0,0,0,7.67,3.0,3,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,4.67,1,ak
1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10.0,4.2,1,ak
0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,6.5,4.0,2,ak
0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.0,1,ak
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,3.0,1,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,5.4,1,ak
0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,9.0,4.44,1,ak
0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,9.0,5.89,1,ak
0,2,0,1,0,0,0,0,0,0,0,5,2,0,0,0,2,6.33,3.05,3,ak
0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,1,4.5,5.56,2,ak
1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,22.0,3.77,1,ak
4,1,2,1,0,0,1,1,0,0,0,7,0,1,0,0,1,11.5,3.74,2,ak
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,2.63,1,ak
0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,7.0,3.71,2,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6.0,3.0,1,ak
0,0,0,0,0,0,1,1,0,0,0,12,1,0,0,0,2,5.75,4.13,4,ak
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2.0,1.5,1,ak
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.0,3.14,1,ak
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,4.5,1,ak
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8.0,3.0,1,ak
0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,6.71,1,ak
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0.0,1,ak
0,1,0,0,0,0,0,2,0,0,0,12,1,0,0,1,2,6.67,3.45,3,ak
0,2,1,0,3,0,1,2,0,2,0,9,2,0,0,0,1,3.43,3.13,7,ak
3,0,1,1,1,0,0,0,0,0,0,4,0,4,0,0,0,11.0,3.14,2,ak
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.0,4.33,1,ak
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,2.89,1,ak
0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,24.0,3.38,1,ak
0,1,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,15.0,4.67,1,ak
1,0,0,1,0,0,0,1,0,0,0,11,2,0,0,0,3,7.0,3.39,4,ak
2,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,17.0,3.47,1,ak
1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.0,2.83,2,ak
1,0,1,0,1,0,0,0,0,0,0,6,0,4,0,0,0,11.0,3.91,2,ak
2,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,26.0,3.31,1,ak
