@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {britneyspears,justinbieber,katyperry,ladygaga,rihanna,taylorswift}


@data
2,1,0,0,2,0,0,3,1,1,0,14,4,1,1,1,12,9.5,3.58,4,britneyspears
1,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,1,6.0,3.72,3,britneyspears
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6.5,2.92,2,britneyspears
2,1,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,5.5,3.82,4,britneyspears
0,0,0,0,0,0,1,0,0,2,0,5,4,0,0,0,1,16.0,2.94,1,britneyspears
0,0,0,0,0,0,2,1,1,0,0,5,2,0,0,0,0,10.0,4.5,1,britneyspears
0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3.0,2.33,2,britneyspears
0,0,1,1,0,0,1,0,0,0,0,10,5,0,0,0,3,14.5,3.66,2,britneyspears
1,2,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,8.67,3.31,3,britneyspears
1,4,0,1,0,0,0,0,1,0,0,11,3,1,0,3,4,5.33,2.97,6,britneyspears
2,0,1,0,0,0,1,0,0,0,0,10,2,0,0,0,0,10.0,3.63,3,britneyspears
0,1,0,0,0,0,0,1,0,0,0,4,3,0,0,1,0,12.0,3.25,1,britneyspears
2,0,0,1,2,0,3,1,0,0,0,7,1,1,0,0,1,11.5,4.52,2,britneyspears
0,0,0,0,0,0,0,1,1,0,0,5,4,1,0,0,1,17.0,4.71,1,britneyspears
0,0,0,2,2,0,3,0,0,0,1,9,7,0,0,0,0,6.75,4.04,4,britneyspears
1,2,1,0,1,0,0,0,0,0,0,9,1,1,0,0,2,10.5,4.33,2,britneyspears
0,1,0,0,1,0,0,0,0,0,0,12,1,2,0,1,4,7.0,4.71,3,britneyspears
0,0,0,0,0,0,2,0,1,2,0,7,4,0,0,0,1,7.0,3.19,3,britneyspears
2,4,0,0,0,0,0,0,1,0,0,12,2,2,0,1,16,9.67,3.69,3,britneyspears
1,1,0,0,0,0,0,0,1,0,0,6,3,1,0,0,1,9.0,4.78,2,britneyspears
1,4,2,1,3,0,0,1,1,0,0,9,2,3,0,3,4,8.0,3.28,4,britneyspears
1,0,0,1,1,0,0,0,1,0,0,9,2,1,0,1,1,13.5,3.22,2,britneyspears
1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,2,5.75,3.0,4,britneyspears
2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8.33,4.12,3,britneyspears
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5.0,3.8,1,britneyspears
2,4,0,0,1,0,0,0,0,0,0,10,2,2,0,2,4,7.5,3.67,4,britneyspears
1,1,0,0,0,0,0,1,1,0,0,16,1,2,0,2,13,6.25,3.96,4,britneyspears
0,0,0,0,1,0,0,1,0,1,0,3,1,1,0,0,0,16.0,3.56,1,britneyspears
2,1,1,1,0,0,0,0,1,2,0,9,1,0,0,0,1,11.5,3.87,2,britneyspears
4,4,0,0,3,0,0,0,0,0,0,13,0,1,0,5,6,8.5,3.0,4,britneyspears
0,0,0,0,0,0,0,0,0,2,0,8,2,0,1,0,2,12.0,4.38,2,britneyspears
1,0,1,1,1,0,0,0,0,0,0,7,0,0,0,0,0,6.0,3.44,3,britneyspears
2,1,0,1,0,0,1,0,1,0,0,6,1,0,0,0,0,12.5,3.6,2,britneyspears
0,0,0,0,0,0,1,0,0,0,0,10,2,0,0,0,0,8.67,4.15,3,britneyspears
1,0,0,0,0,0,1,0,1,0,0,4,3,2,0,0,1,6.33,3.89,3,britneyspears
2,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,5,6.75,3.41,4,britneyspears
2,0,0,2,2,0,0,0,0,0,0,9,0,3,0,1,0,7.75,3.32,4,britneyspears
1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,9.5,4.26,2,britneyspears
1,2,0,0,0,0,0,0,0,2,0,5,1,0,0,0,1,9.0,3.83,2,britneyspears
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,3.25,1,britneyspears
0,2,2,0,0,0,1,0,0,0,0,6,0,1,0,0,0,7.33,3.5,3,britneyspears
0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4.33,3.77,3,britneyspears
1,0,1,0,0,0,1,0,1,0,0,4,1,1,0,0,1,14.0,3.5,1,britneyspears
1,0,0,2,1,0,1,3,0,0,0,12,0,3,0,1,2,6.75,3.93,4,britneyspears
3,2,0,2,2,0,0,0,0,0,0,10,2,1,0,1,1,7.0,3.46,4,britneyspears
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10.0,4.3,1,britneyspears
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4.5,2.67,2,britneyspears
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,6.0,4.42,2,britneyspears
0,0,1,0,2,0,0,1,0,0,0,10,0,0,0,0,1,4.6,4.22,5,britneyspears
0,0,1,1,0,0,3,0,1,0,0,20,1,0,0,0,0,14.33,3.95,3,britneyspears
1,1,1,0,0,0,0,0,0,0,0,8,1,0,0,1,0,6.5,3.5,4,britneyspears
1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,6.67,4.3,3,britneyspears
2,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,2,6.33,4.0,3,britneyspears
0,3,0,0,1,0,0,3,1,0,0,17,1,1,0,3,1,7.75,3.48,4,britneyspears
2,1,0,0,0,1,0,0,0,0,0,7,0,1,0,0,1,8.33,3.68,3,britneyspears
2,0,0,2,1,0,0,0,0,0,0,7,3,2,0,1,0,9.33,3.71,3,britneyspears
1,1,0,0,0,0,1,0,0,2,0,7,0,1,0,1,0,8.5,3.35,2,britneyspears
2,0,3,0,0,0,0,0,1,0,1,10,0,0,0,0,0,5.4,3.19,5,britneyspears
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,4.0,4.0,2,britneyspears
2,2,0,0,1,0,0,0,0,0,0,11,5,1,0,2,5,5.5,2.82,6,britneyspears
0,0,0,0,0,0,1,1,0,0,0,8,3,0,0,0,0,10.5,4.29,2,britneyspears
2,0,0,0,1,0,1,0,0,0,0,5,0,2,0,0,0,11.5,3.0,2,britneyspears
2,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,8.0,3.42,3,britneyspears
2,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,6.0,3.22,3,britneyspears
0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,10.5,3.81,2,britneyspears
0,0,0,0,0,0,0,1,0,0,0,11,5,1,0,0,2,6.75,3.41,4,britneyspears
0,3,0,0,0,0,0,1,1,0,0,14,1,1,0,2,3,5.5,3.41,4,britneyspears
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3.0,4.33,2,britneyspears
0,0,0,0,1,0,0,1,0,1,0,13,1,3,0,1,1,6.5,4.08,4,britneyspears
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10.0,4.5,1,britneyspears
2,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,6.67,3.85,3,britneyspears
1,2,1,1,0,0,0,0,0,0,0,10,0,2,0,0,1,8.67,3.54,3,britneyspears
1,1,0,1,0,0,1,0,0,0,0,5,0,3,0,0,0,5.75,4.61,4,britneyspears
