@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {barackobama,stephencolbert,ashtonkutcher,kimkardashian,neiltyson,shakira}


@data
0,1,0,1,0,0,1,0,0,0,0,7,1,0,0,0,0,18.0,5.61,1,barackobama
1,2,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,7.5,4.2,2,barackobama
0,0,0,0,0,0,1,1,0,0,0,8,5,0,0,0,1,21.0,4.57,1,barackobama
0,0,0,0,1,0,1,1,0,0,0,10,0,0,1,0,1,10.0,3.95,2,barackobama
0,0,1,0,0,0,0,1,0,0,0,4,2,0,0,0,1,7.5,4.47,2,barackobama
0,0,2,0,0,0,0,1,0,0,0,6,4,0,0,0,0,8.0,4.75,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,5,6,0,0,0,3,7.0,3.43,3,barackobama
0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,1,7.5,4.53,2,barackobama
1,0,0,2,0,0,3,0,2,0,0,9,1,0,0,0,0,24.0,3.67,1,barackobama
1,0,1,0,0,0,1,0,0,0,0,2,3,1,0,0,1,7.5,3.07,2,barackobama
3,2,0,0,0,0,0,1,0,0,0,9,3,0,0,0,1,7.0,3.46,4,barackobama
0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,17.0,4.65,1,barackobama
0,1,0,0,0,0,1,0,0,0,0,7,0,2,0,1,0,9.5,4.26,2,barackobama
0,0,0,1,0,1,1,1,0,0,0,6,3,1,0,0,0,8.0,4.38,2,barackobama
0,1,0,0,0,1,1,1,0,0,0,7,4,0,0,0,2,11.5,3.43,2,barackobama
0,3,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,9.5,3.89,2,barackobama
0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4.67,4.79,3,barackobama
0,1,0,0,0,0,0,1,0,0,0,4,1,2,0,0,0,11.5,4.26,2,barackobama
1,0,1,1,0,0,0,1,0,0,0,8,3,0,0,0,1,6.33,4.11,3,barackobama
2,0,0,0,1,1,3,1,0,0,0,9,1,0,0,0,0,26.0,3.73,1,barackobama
0,0,0,1,0,0,0,0,1,0,0,5,4,1,0,0,0,19.0,4.21,1,barackobama
0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,9.5,4.95,2,barackobama
0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,14.0,3.71,1,barackobama
1,0,0,0,0,0,0,1,0,0,0,5,2,1,0,0,0,10.0,4.55,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,2,9.5,3.89,2,barackobama
2,3,0,1,0,0,1,1,0,0,0,5,0,0,1,0,0,9.33,3.14,3,barackobama
0,0,0,1,0,0,1,1,0,0,0,3,3,0,0,0,1,23.0,3.65,1,barackobama
0,1,0,1,1,0,0,0,0,0,0,6,5,0,0,0,0,19.0,5.11,1,barackobama
0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,1,6.0,5.0,2,barackobama
0,0,1,0,0,0,0,0,1,0,0,2,6,2,0,0,0,11.0,3.68,2,barackobama
1,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,9.0,4.78,2,barackobama
2,0,1,0,1,1,0,1,0,0,0,8,1,0,2,0,1,11.67,3.69,3,barackobama
0,1,1,2,0,0,0,3,0,0,0,19,1,0,0,0,0,7.8,4.59,5,barackobama
0,0,2,1,0,1,1,0,0,0,0,6,2,0,0,0,0,9.5,5.21,2,barackobama
0,1,0,0,0,0,1,0,0,0,0,4,1,3,0,0,0,19.0,4.26,1,barackobama
1,0,0,1,0,1,2,1,0,0,0,9,0,0,0,0,0,20.0,4.2,1,barackobama
1,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,1,7.5,2.93,2,barackobama
3,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,21.0,4.14,1,barackobama
0,0,0,1,0,0,1,0,0,0,0,9,2,0,3,0,1,14.0,3.96,2,barackobama
0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,15.0,3.93,1,barackobama
0,0,0,1,0,0,0,1,0,0,0,7,2,1,0,0,0,20.0,4.8,1,barackobama
2,0,0,0,1,0,0,1,0,0,0,6,2,0,1,0,2,6.67,4.05,3,barackobama
0,2,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,11.5,5.04,2,barackobama
2,0,0,0,0,0,1,1,0,0,0,8,0,3,0,0,1,7.0,4.33,3,barackobama
0,0,0,1,1,0,1,0,0,0,0,6,0,1,0,0,0,7.0,4.57,2,barackobama
0,1,0,0,1,1,1,0,0,0,0,5,1,0,0,0,0,18.0,4.5,1,barackobama
0,0,0,0,1,0,1,0,0,0,0,6,1,1,0,0,0,16.0,5.25,1,barackobama
1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,5.67,3.59,3,barackobama
1,0,1,0,0,0,1,2,0,0,0,6,1,2,0,0,1,6.33,3.32,3,barackobama
1,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,13.0,4.23,1,barackobama
0,0,0,1,0,0,0,1,0,0,0,10,2,0,0,0,1,11.5,4.26,2,barackobama
0,0,2,0,0,0,0,0,0,0,0,5,0,1,2,0,0,25.0,4.44,1,barackobama
0,0,1,0,0,0,1,1,0,0,0,9,0,0,0,0,1,11.0,3.91,2,barackobama
0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,17.0,4.76,1,barackobama
0,0,0,1,1,0,1,2,0,0,0,8,0,1,0,0,1,5.5,4.0,4,barackobama
2,1,0,0,1,1,0,0,0,0,0,6,1,0,0,0,0,11.5,3.48,2,barackobama
0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,3,4.5,4.22,2,barackobama
1,1,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,8.0,3.96,3,barackobama
0,1,0,0,0,0,0,3,0,0,0,6,2,0,1,0,3,5.0,3.25,4,barackobama
0,1,0,1,0,0,0,0,0,0,0,7,1,0,0,0,2,11.5,3.96,2,barackobama
0,0,1,0,0,0,1,0,0,0,0,4,3,2,0,0,1,5.67,2.82,3,barackobama
0,0,0,0,0,1,0,0,0,0,0,6,3,0,0,0,1,11.5,4.09,2,barackobama
