@relation tweets-weka.filters.unsupervised.attribute.StringToNominal-Rlast

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute classname {bs,jb,kp,lgg,rih,ts}

@data
1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,3.5,2,bs
1,2,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,6.25,3.44,4,bs
0,0,0,0,0,0,0,1,0,0,0,4,3,1,1,0,1,7.5,3.67,2,bs
1,3,0,0,0,0,0,1,1,0,0,12,1,0,0,0,12,7.67,3.65,3,bs
0,0,0,0,0,0,1,1,0,0,0,10,4,1,0,0,1,8.67,3.5,3,bs
1,2,0,0,2,0,1,2,1,1,0,12,2,2,0,1,1,5.33,3.22,6,bs
2,1,0,0,2,0,0,3,1,1,0,17,4,1,1,1,12,6.29,3.09,7,bs
1,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,1,6,3.72,3,bs
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6.5,2.92,2,bs
2,1,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,5.5,3.82,4,bs
0,0,0,0,0,0,1,0,0,2,0,5,4,0,0,0,1,16,2.94,1,bs
0,0,0,0,0,0,2,1,1,0,0,5,2,0,0,0,0,10,4.5,1,bs
0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,2.33,2,bs
0,0,1,1,0,0,1,0,0,0,0,10,5,0,0,0,3,14.5,3.66,2,bs
1,2,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,8.67,3.31,3,bs
1,4,0,1,0,0,0,0,1,0,0,11,3,1,0,3,4,5.33,2.97,6,bs
2,0,1,0,0,0,1,0,0,0,0,10,2,0,0,0,0,10,3.63,3,bs
0,1,0,0,0,0,0,1,0,0,0,4,3,0,0,1,0,12,3.25,1,bs
2,0,0,1,2,0,3,1,0,0,0,7,1,1,0,0,1,11.5,4.52,2,bs
0,0,0,0,0,0,0,1,1,0,0,6,4,1,0,0,1,9.5,4.21,2,bs
0,0,0,2,2,0,3,0,0,0,1,9,7,0,0,0,0,6.75,4.04,4,bs
1,2,1,0,1,0,0,0,0,0,0,9,1,1,0,0,2,10.5,4.33,2,bs
0,1,0,0,1,0,0,0,0,0,0,12,1,2,0,1,4,7,4.71,3,bs
0,0,0,0,0,0,2,0,1,2,0,7,4,0,0,0,1,7,3.19,3,bs
2,4,0,0,0,0,0,0,1,0,0,12,2,2,0,1,16,9.67,3.69,3,bs
1,1,0,0,0,0,0,0,1,0,0,6,3,1,0,0,1,9,4.78,2,bs
1,4,2,1,3,0,0,1,1,0,0,9,2,3,0,3,4,8,3.28,4,bs
1,0,0,1,1,0,0,0,1,0,0,9,2,1,0,1,1,13.5,3.22,2,bs
1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,2,5.75,3,4,bs
2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8.33,4.12,3,bs
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,3.8,1,bs
2,4,0,0,1,0,0,0,0,0,0,10,2,2,0,2,4,7.5,3.67,4,bs
1,1,0,0,0,0,0,1,1,0,0,16,1,2,0,2,13,6.25,3.96,4,bs
0,0,0,0,1,0,0,1,0,1,0,4,1,1,0,0,0,9,3.17,2,bs
2,1,1,1,0,0,0,0,1,2,0,9,1,0,0,0,1,11.5,3.87,2,bs
4,4,0,0,3,0,0,0,0,0,0,13,0,1,0,5,6,8.5,3,4,bs
0,0,0,0,0,0,0,0,0,2,0,8,2,0,1,0,2,12,4.38,2,bs
1,0,1,1,1,0,0,0,0,0,0,7,0,0,0,0,0,6,3.44,3,bs
2,1,0,1,0,0,1,0,1,0,0,6,1,0,0,0,0,12.5,3.6,2,bs
0,0,0,0,0,0,1,0,0,0,0,10,2,0,0,0,0,8.67,4.15,3,bs
1,0,0,0,0,0,1,0,1,0,0,4,3,2,0,0,1,6.33,3.89,3,bs
2,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,5,6.75,3.41,4,bs
2,0,0,2,2,0,0,0,0,0,0,9,0,3,0,1,0,7.75,3.32,4,bs
1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,9.5,4.26,2,bs
1,2,0,0,0,0,0,0,0,2,0,5,1,0,0,0,1,9,3.83,2,bs
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3.25,1,bs
0,2,2,0,0,0,1,0,0,0,0,6,0,1,0,0,0,7.33,3.5,3,bs
0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4.33,3.77,3,bs
1,0,1,0,0,0,1,0,1,0,0,4,1,1,0,0,1,14,3.5,1,bs
1,0,0,2,1,0,1,3,0,0,0,13,0,3,0,1,2,5.8,3.66,5,bs
3,2,0,2,2,0,0,0,0,0,0,10,2,1,0,1,1,7,3.46,4,bs
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10,4.3,1,bs
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4.5,2.67,2,bs
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,6,4.42,2,bs
0,0,1,0,2,0,0,1,0,0,0,10,0,0,0,0,1,4.6,4.22,5,bs
0,0,1,1,0,0,3,0,1,0,0,20,1,0,0,0,0,14.33,3.95,3,bs
1,1,1,0,0,0,0,0,0,0,0,8,1,0,0,1,0,6.5,3.5,4,bs
1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,6.67,4.3,3,bs
2,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,2,6.33,4,3,bs
0,3,0,0,1,0,0,3,1,0,0,17,1,1,0,3,1,7.75,3.48,4,bs
2,1,0,0,0,1,0,0,0,0,0,7,0,1,0,0,1,8.33,3.68,3,bs
2,0,0,2,1,0,0,0,0,0,0,7,3,2,0,1,0,9.33,3.71,3,bs
1,1,0,0,0,0,1,0,0,2,0,7,0,1,0,1,0,8.5,3.35,2,bs
2,0,3,0,0,0,0,0,1,0,1,10,0,0,0,0,0,5.4,3.19,5,bs
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,4,4,2,bs
2,2,0,0,1,0,0,0,0,0,0,11,5,1,0,2,5,5.5,2.82,6,bs
0,0,0,0,0,0,1,1,0,0,0,8,3,0,0,0,0,10.5,4.29,2,bs
2,0,0,0,1,0,1,0,0,0,0,5,0,2,0,0,0,11.5,3,2,bs
2,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,8,3.42,3,bs
2,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,6,3.22,3,bs
0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,10.5,3.81,2,bs
0,0,0,0,0,0,0,1,0,0,0,11,5,1,0,0,2,6.75,3.41,4,bs
0,3,0,0,0,0,0,1,1,0,0,14,1,1,0,2,3,5.5,3.41,4,bs
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,4.33,2,bs
0,0,0,0,1,0,0,1,0,1,0,14,1,3,0,1,1,5.6,3.79,5,bs
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10,4.5,1,bs
2,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,6.67,3.85,3,bs
1,2,1,1,0,0,0,0,0,0,0,10,0,2,0,0,1,8.67,3.54,3,bs
1,1,0,1,0,0,1,0,0,0,0,5,0,3,0,0,0,5.75,4.61,4,bs
0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,4,3.5,4.14,2,bs
1,2,1,0,0,1,0,0,0,0,0,9,2,0,1,1,1,10,3.67,3,bs
0,0,0,0,0,0,1,0,0,0,0,8,1,1,0,0,0,10.5,4.33,2,bs
1,1,0,0,0,0,1,0,0,0,0,10,0,3,0,1,0,7.25,3.38,4,bs
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,3.9,2,bs
0,2,1,0,0,0,0,0,0,0,0,10,0,4,0,0,7,6.5,3.46,4,bs
2,0,0,0,0,1,0,0,0,0,0,8,1,1,0,0,1,7.75,3.35,4,bs
2,0,1,0,0,0,0,0,0,0,0,8,2,3,0,1,1,9.67,3.21,3,bs
0,0,0,0,0,0,1,1,0,0,0,7,2,1,0,0,1,6,3.06,3,bs
0,1,0,0,1,0,0,0,0,0,0,15,0,3,0,3,1,5.5,4,4,bs
1,0,0,0,0,0,1,1,1,0,0,7,3,1,1,0,0,6.33,3.53,3,bs
2,1,0,0,0,1,0,0,0,2,0,10,0,0,0,0,1,10.5,4.1,2,bs
0,0,0,1,0,0,0,1,0,0,0,7,5,0,0,0,0,25,3.52,1,bs
2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,6.67,4.15,3,bs
1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,3,3.44,3,bs
0,0,0,0,0,0,2,0,0,0,0,7,3,0,0,0,0,3.75,3.67,4,bs
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10,4,1,bs
4,1,2,1,0,0,0,0,0,0,0,4,0,3,0,1,0,14.5,2.76,2,bs
1,3,0,0,1,0,0,0,1,0,0,13,1,1,0,1,1,6,3.33,5,bs
1,0,0,0,0,0,0,1,0,0,2,8,1,3,1,0,0,6.25,3.36,4,bs
4,0,1,0,0,0,1,0,0,0,0,7,2,1,0,0,2,11,3.06,3,bs
0,1,1,1,1,0,0,1,0,0,0,10,1,1,0,0,2,10,4.8,2,bs
1,0,2,0,0,0,0,1,0,0,0,6,1,1,0,0,1,8.33,3,3,bs
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2.5,3.2,2,bs
1,1,0,1,0,0,0,1,0,0,0,9,0,1,1,0,0,12.5,3.64,2,bs
1,1,1,0,0,0,0,1,0,0,0,6,1,3,0,1,1,8.33,3.24,3,bs
0,4,0,0,1,0,0,2,1,0,0,11,2,0,1,1,8,4.33,3.35,6,bs
0,0,1,0,0,0,2,1,1,0,0,7,5,1,0,0,0,8,3.67,3,bs
1,1,1,1,2,0,1,1,0,1,0,9,0,2,0,1,4,12,4.29,2,bs
1,2,0,0,0,0,0,3,1,0,0,15,3,2,0,1,4,7.75,3.39,4,bs
2,0,0,1,0,0,0,0,1,0,0,9,1,5,0,1,0,9,3.85,3,bs
1,1,1,0,1,0,1,0,1,0,0,5,0,2,1,1,0,8.5,4.76,2,bs
1,0,0,0,1,1,0,0,1,0,0,8,0,0,0,0,1,12.5,3.64,2,bs
1,3,0,0,3,0,1,1,1,0,0,9,1,5,0,1,1,14,3.61,2,bs
2,3,0,0,0,0,0,1,0,0,1,11,0,3,1,2,2,6.2,3.42,5,bs
1,1,1,1,0,0,1,0,0,0,0,7,1,0,0,0,0,11.5,3.78,2,bs
0,2,3,0,2,0,1,0,0,0,0,5,1,2,1,0,0,9.67,3.55,3,bs
0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,6,4.75,2,bs
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10,4.7,1,bs
3,2,0,0,2,0,0,2,0,1,0,12,0,1,0,1,1,10,3.47,3,bs
1,3,0,0,0,0,0,0,0,2,0,7,0,2,0,0,0,6.67,3.45,3,bs
0,0,0,1,0,0,2,1,0,0,0,4,0,1,0,0,0,5,4.4,2,bs
2,0,0,0,3,0,1,0,1,0,1,8,3,2,0,0,2,6.75,3.26,4,bs
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,6,3.08,2,bs
0,0,1,0,0,0,1,1,0,0,0,6,3,1,0,0,1,7,3.52,3,bs
0,1,0,0,0,1,0,0,0,2,0,5,0,0,0,0,1,6,3.75,2,bs
0,0,0,0,0,0,0,0,1,2,0,3,5,1,1,0,0,20,4.4,1,bs
0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,4.25,2.53,4,bs
1,4,0,0,1,0,1,2,0,1,0,9,1,3,0,1,1,6,3.13,5,bs
1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,5,3.4,2,bs
0,1,1,1,0,1,0,0,2,0,0,5,3,1,0,0,2,12,3.75,2,bs
0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,9.5,3.53,2,bs
0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,8,5.38,1,bs
0,4,0,1,2,0,0,0,0,0,0,9,2,0,0,4,2,10,3.67,3,bs
1,1,0,1,0,0,0,0,0,0,0,7,3,2,0,0,1,12.5,4.44,2,bs
1,1,0,0,0,0,0,1,0,0,0,6,6,0,1,0,0,12.5,3.56,2,bs
0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,4.67,3.14,3,bs
1,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,8,3.79,3,bs
1,2,1,0,0,0,0,0,0,0,1,7,1,1,0,0,0,4.6,3.65,5,bs
0,0,0,0,0,0,2,1,1,0,0,6,1,0,0,0,0,10,4.2,1,bs
1,0,0,1,1,0,0,1,0,0,0,7,0,0,0,0,0,9,3.89,2,bs
0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,4,3.31,4,bs
1,0,0,0,0,0,0,1,1,0,0,7,1,0,1,0,1,5,4.07,3,bs
0,0,0,1,1,0,5,0,0,0,0,5,8,2,0,0,0,11,4.77,2,bs
0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,22,3.36,1,bs
1,0,0,1,2,0,0,0,0,0,0,8,0,1,0,0,0,12.5,4.52,2,bs
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4,2.63,2,bs
2,0,1,1,0,0,0,0,0,0,1,11,0,0,0,0,3,6.67,4.25,3,bs
0,1,1,0,1,0,0,0,0,0,0,3,1,2,0,1,0,5.67,3.29,3,bs
1,0,2,1,5,0,1,0,1,0,0,7,5,0,0,0,0,8,3.28,4,bs
2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,11,4.05,2,bs
0,1,0,0,0,0,1,1,0,0,0,9,6,0,0,0,1,14,3.11,2,bs
0,0,0,0,0,0,2,0,1,0,0,2,4,0,0,0,0,9,4.33,1,bs
1,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,8.67,3.54,3,bs
0,2,1,0,0,0,0,0,1,0,0,14,1,3,0,1,3,6.75,3.52,4,bs
0,1,0,0,0,0,1,0,0,0,1,5,2,1,1,0,0,10.5,3.57,2,bs
0,0,1,0,0,0,0,1,1,0,0,12,1,0,0,1,1,4.2,4.48,5,bs
1,0,1,1,0,0,0,1,0,0,0,9,3,1,0,0,0,8.33,3.72,3,bs
0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,3.5,6.14,2,bs
0,2,0,0,0,0,0,1,1,0,1,10,1,3,0,1,1,5.4,3.59,5,bs
1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,4.67,2.71,3,bs
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,9.67,1,bs
1,0,2,0,1,0,1,0,0,0,0,11,1,0,1,0,0,14.5,3.72,2,bs
1,4,0,0,1,0,0,2,0,1,0,16,0,2,0,1,18,5.17,3.29,6,bs
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2.5,1,bs
0,0,1,1,0,1,1,0,0,0,0,10,0,0,0,0,0,8,3.79,3,bs
2,0,0,1,0,0,0,0,1,0,0,8,3,1,1,0,2,8.67,3.81,3,bs
1,3,0,0,2,0,0,0,0,0,0,12,2,1,0,0,2,6.5,3.96,4,bs
1,1,1,0,2,0,0,1,1,0,0,12,0,1,0,0,3,5.2,3.88,5,bs
0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,7,4.67,3,bs
0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4.5,4.11,2,bs
0,1,0,0,0,0,0,0,0,0,1,6,3,0,0,0,1,9.5,3.95,2,bs
2,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,10.5,3.86,2,bs
0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,6,4.5,2,bs
1,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,11.5,3.52,2,bs
1,1,1,0,0,0,0,0,1,0,0,7,1,1,0,0,0,7.33,2.68,3,bs
0,0,0,1,0,0,0,1,0,0,0,9,0,1,0,0,0,7,3.67,3,bs
0,0,0,0,0,0,0,0,0,2,0,4,5,0,0,0,0,16,2.94,1,bs
0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,8,3.31,2,bs
5,1,0,1,1,1,0,1,0,1,0,15,0,1,0,2,4,7.25,3.31,4,bs
0,2,0,1,0,0,0,0,0,0,1,7,0,2,0,0,0,5.25,3.24,4,bs
0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,8,3.88,2,bs
3,3,1,0,2,0,0,0,0,0,0,9,0,1,0,0,0,15.5,2.68,2,bs
0,0,0,0,0,0,1,1,0,0,0,7,4,0,0,0,1,7,3.86,3,bs
2,1,1,1,1,0,0,0,1,0,0,13,2,0,1,2,6,10.33,3.45,3,bs
3,1,1,1,4,0,1,1,0,0,0,10,1,1,0,1,4,7.25,3.41,4,bs
2,1,1,0,1,0,0,0,1,0,0,4,1,0,1,0,0,5.33,2.63,3,bs
0,1,0,0,0,0,1,0,0,0,0,7,3,0,0,0,0,9,3.89,2,bs
1,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,8,3.92,3,bs
0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,11,5.18,1,bs
1,2,0,0,0,0,0,0,0,2,0,5,1,0,1,0,0,8,4.42,3,bs
1,1,0,0,0,0,0,0,1,0,2,11,2,2,0,0,0,5.6,3.07,5,bs
0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,23,3.91,1,bs
2,0,1,1,2,0,0,1,0,0,0,7,0,0,0,0,0,10.5,4.05,2,bs
0,0,1,0,0,0,0,1,1,0,0,8,2,0,0,0,0,6.67,4.3,3,bs
0,1,0,0,1,0,1,0,0,0,1,8,2,0,0,0,0,9.33,3.79,3,bs
1,0,1,0,2,0,0,0,0,0,0,5,2,0,0,0,0,4.33,3.23,3,bs
1,0,1,1,1,0,0,0,1,0,0,8,0,1,0,0,0,7.67,3.87,3,bs
0,0,1,2,0,0,0,0,0,0,0,10,0,0,0,0,0,11,4.73,2,bs
2,0,0,2,0,1,1,0,0,0,2,13,0,1,0,0,0,8.75,2.89,4,bs
1,1,0,0,0,0,0,0,1,0,1,5,1,0,0,1,0,7,3.95,3,bs
3,1,2,0,1,0,1,0,1,2,0,17,4,0,0,0,0,12,3.13,4,bs
2,0,0,1,0,1,0,0,1,0,1,9,1,0,0,0,1,8.67,3.42,3,bs
4,2,0,1,0,0,0,0,0,0,0,12,1,0,0,0,1,10.33,3.32,3,bs
0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,4,3.38,2,bs
2,0,0,1,2,0,0,0,1,0,0,11,1,0,0,0,1,8.67,3.65,3,bs
0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1.25,2,bs
2,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,12,4.25,2,bs
1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,8,3.19,2,bs
0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,5,6.8,1,bs
1,0,0,0,0,0,1,1,0,0,1,13,3,3,0,0,4,6.6,3.12,5,bs
0,0,0,0,0,0,1,0,1,0,0,6,3,1,0,0,0,8.5,4.41,2,bs
0,2,1,0,2,0,0,0,0,0,0,10,1,4,0,2,1,6.25,4.12,4,bs
0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,9,6.39,2,bs
2,0,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,8,3.63,3,bs
0,0,0,0,0,0,1,0,0,0,0,6,1,1,0,0,1,8,4,2,bs
0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,2,8,5.63,1,bs
0,0,0,1,0,0,1,0,0,0,0,9,1,0,0,0,4,21,4.95,1,bs
1,1,2,0,1,0,0,0,0,0,0,8,1,2,0,1,0,8.25,2.97,4,bs
0,1,1,1,0,0,0,0,0,0,0,10,2,1,0,0,1,12,4.63,2,bs
0,0,0,0,0,0,1,0,1,0,0,5,6,0,1,0,2,11.5,3.43,2,bs
0,0,1,1,2,1,0,0,0,0,0,3,0,1,0,0,0,6.5,3.62,2,bs
2,0,1,0,1,0,0,1,0,0,0,9,1,3,0,0,2,4.14,3.69,7,bs
4,1,0,1,0,0,0,0,1,0,0,9,2,0,0,3,1,7.25,3.07,4,bs
4,0,0,1,0,0,0,0,0,0,0,9,0,1,0,0,1,27,3.11,1,bs
0,0,0,0,0,0,1,1,0,0,0,12,3,0,0,0,1,12.5,3.64,2,bs
0,0,0,0,0,1,0,0,0,2,0,8,3,1,0,0,1,8.33,4.36,3,bs
0,1,0,1,0,0,0,0,1,0,0,9,2,1,0,1,1,8,3.79,3,bs
1,1,2,0,2,0,0,1,1,0,0,12,1,1,0,0,3,7,3.64,4,bs
1,1,1,1,1,0,0,2,0,1,0,12,0,2,0,1,2,5.2,3.35,5,bs
1,1,0,0,0,0,0,1,0,0,1,6,2,2,1,1,1,5.2,3.46,5,bs
2,1,2,1,1,0,0,0,0,2,0,9,0,0,0,0,2,8.67,3.62,3,bs
2,4,0,0,1,0,0,2,0,0,0,13,0,0,1,0,11,6.6,3.18,5,bs
1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,7,4,1,bs
1,2,0,0,1,0,0,1,1,1,0,6,0,3,0,0,3,5.25,3,4,bs
0,5,0,1,1,0,2,2,1,1,0,8,2,2,0,2,1,7.75,3.42,4,bs
0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,3,3.75,4,bs
4,0,1,0,3,0,2,0,0,0,0,9,0,1,0,0,2,14,3.43,2,bs
1,0,1,0,1,0,0,1,0,0,1,12,1,0,0,0,1,4.5,3.74,6,bs
0,1,0,0,0,0,0,0,1,0,1,7,1,1,0,0,1,6.33,4.79,3,bs
